name	img_url	price	statuses	store_name	category_id
구머링 초록 키링	https://image1.marpple.co/files/u_4216304/2024/11/original/67a4b22ec4e60a7df5e0f151db9f5d9070b119ae1.png?q=92&w=450&f=webp&bg=f6f6f6	"9,900"	AVAILABLE	구머링	1
타키포오 키링	https://image1.marpple.co/files/u_1312391/2022/4/original/537bdb21c4aca1c9ab85aba9a19ab0fc3833b4791.png?q=92&w=450&f=webp&bg=f6f6f6	"13,200"	AVAILABLE	캐릭온 Shop	1
시혜 대롱대롱 키링	https://image1.marpple.co/files/u_4910617/2024/11/original/074b87e09648c093c790d3c690eb9a1d38da21d11.png?q=92&w=450&f=webp&bg=f6f6f6	"12,000"	AVAILABLE	시혜	1
운터기절!	https://image1.marpple.co/files/u_2339991/2024/9/original/85e52ab988db4ee94892b4acf1c818a358273f2e1.png?q=92&w=450&f=webp&bg=f6f6f6	"13,500"	AVAILABLE	카운터	1
D’MN 로고 키링	https://image1.marpple.co/files/u_2732193/2024/8/original/5d044982ce2c00544c6e23073d423bd7eed3b6f41.png?q=92&w=450&f=webp&bg=f6f6f6	"11,900"	AVAILABLE	D’MN	1
인생에 책은 필수 키링 Ver.1	https://image1.marpple.co/files/u_4057892/2024/10/original/efd2d8144bbfcbf1278fb64531134e56b83c85161.png?q=92&w=450&f=webp&bg=f6f6f6	"7,900"	AVAILABLE	힙스터지망생	1
따봉 안경만두 아크릴 키링	https://image1.marpple.co/files/u_172909/2024/10/original/0f28994645254a61feec3750e620d8529b7a3c7e1.png?q=92&w=450&f=webp&bg=f6f6f6	"7,700"	AVAILABLE	49	1
서해영 명찰 키링	https://image1.marpple.co/files/u_4693450/2024/9/original/531973a8f5ac2c4499b308548df22b59bc9aa20d1.png?q=92&w=450&f=webp&bg=f6f6f6	"10,200"	AVAILABLE	토마토가 돼라!	1
소맥이 키링	https://image1.marpple.co/files/u_3172734/2023/11/original/292ac276dedc2af259a6eae636389fb563e3f3be1.png?q=92&w=450&f=webp&bg=f6f6f6	"8,500"	AVAILABLE	소맥거핀	1
스노우 포테이토 키링	https://image1.marpple.co/files/u_3842095/2024/12/original/38520a5e5251d804f73e5e6a405070443740429a1.png?q=92&w=462&f=webp&bg=f6f6f6	"15,000"	AVAILABLE	새싹감자	1
구머링 갈색 키링	https://image1.marpple.co/files/u_4216304/2024/11/original/a0cdf7b100e4ab1d1810a7752f44d6b4920222531.png?q=92&w=450&f=webp&bg=f6f6f6	"9,900"	AVAILABLE	구머링	1
구머링 주황 키링	https://image1.marpple.co/files/u_4216304/2024/12/original/9c140badc3c597fa1f45beeecef776be09e44a311.png?q=92&w=450&f=webp&bg=f6f6f6	"9,900"	AVAILABLE	구머링	1
유령 팬클럽 키링	https://image1.marpple.co/files/u_1097876/2024/6/original/6aac8fab01b06df22200d34cd45fd80553fb7b2e1.png?q=92&w=450&f=webp&bg=f6f6f6	"9,000"	AVAILABLE	엉덩국 굿즈상점	1
푸른머리 다비 팬클럽 키링	https://image1.marpple.co/files/u_1097876/2024/6/original/1106ca0abd63dd8710cfcfc33404e0219226a76c1.png?q=92&w=450&f=webp&bg=f6f6f6	"9,000"	AVAILABLE	엉덩국 굿즈상점	1
귀시니 키링	https://image1.marpple.co/files/u_3172734/2023/11/original/d908800ddca5b7ba4b476a115efc30d1d02767211.png?q=92&w=450&f=webp&bg=f6f6f6	"8,500"	AVAILABLE	소맥거핀	1
고신 피규어키링	https://image1.marpple.co/files/u_4935584/2024/11/original/e9b9b9a162d07aba691352ce7ef2ac4474f427b11.jpg?q=92&w=600&f=webp&bg=f6f6f6&r=80	"9,800"	AVAILABLE	드래곤빌리지 스토어	1
브라운 키링	https://image1.marpple.co/files/u_2474924/2024/7/original/9fc670e1b59dd784eae539349c63dc9b20c77bb11.png?q=92&w=450&f=webp&bg=f6f6f6	"12,000"	AVAILABLE	견생역전	1
빵우연	https://image1.marpple.co/files/u_1871566/2024/4/original/fb31c2a3ed1eb383cfcc86a71be43ec5cce59eba1.png?q=92&w=450&f=webp&bg=f6f6f6	"4,900"	AVAILABLE	IGUM	1
와플검	https://image1.marpple.co/files/u_1871566/2024/4/original/9dfbab974587199a7551a21ad6d5eeff9eb63e1d1.png?q=92&w=450&f=webp&bg=f6f6f6	"4,900"	AVAILABLE	IGUM	1
신세계 (新世界) 반짝키링	https://image1.marpple.co/files/u_3348758/2023/12/original/9e5a6e6330d1fc4687f85b0f80c8c1c7f13657e71.jpg?q=92&w=600&f=webp&bg=f6f6f6	"7,000"	AVAILABLE	김마리	1
GO라니 키링 No.001	https://image1.marpple.co/files/u_2804062/2023/9/original/2d5e61d77d10f91d9bee284e152d86152ff2eccb1.png?q=92&w=450&f=webp&bg=f6f6f6	"8,400"	AVAILABLE	그모	1
연뭉이	https://image1.marpple.co/files/u_1871566/2022/12/original/37782d349a37ff71644b4fff24a26528aa0879c01.png?q=92&w=450&f=webp&bg=f6f6f6	"6,000"	AVAILABLE	IGUM	1
검냥이	https://image1.marpple.co/files/u_1871566/2022/12/original/5927278cf6255c95db12ca681c6c2639dc7c25eb1.png?q=92&w=450&f=webp&bg=f6f6f6	"4,900"	AVAILABLE	IGUM	1
일상툰 인팁	https://image1.marpple.co/files/u_1925843/2022/4/original/f0a3c9b7234656e352fed3fd7e7d5794f060289e1.png?q=92&w=450&f=webp&bg=f6f6f6	"10,000"	AVAILABLE	MBTI일상툰	1
도운 으어어어 키링	https://image1.marpple.co/files/u_3888880/2024/9/original/93e498cb648d283f344c83eac9bc2273edcd4f571.png?q=92&w=450&f=webp&bg=f6f6f6	"9,500"	SOLD_OUT	도운	1
장보미 캐릭터 키링	https://image1.marpple.co/files/u_4693450/2024/9/original/2d9b7cc86604f60b163dad3bca4fe9d863cd8e7d1.png?q=92&w=450&f=webp&bg=f6f6f6	"10,600"	AVAILABLE	토마토가 돼라!	1
으엥 김밤 키링	https://image1.marpple.co/files/u_4073707/2024/6/original/18879d27f7a417ddce2151ff16ee3c6b1a400bef1.png?q=92&w=450&f=webp&bg=f6f6f6	"5,800"	AVAILABLE	[안드로메다 틈새먼지] 안틈먼	1
말랑유	https://image1.marpple.co/files/u_3918683/2024/5/original/2568f03f0ee943864f3bce3f37762700d7e0ec411.png?q=92&w=600&f=webp&bg=f6f6f6	"15,500"	AVAILABLE	유성	1
끌려간다꾸!	https://image1.marpple.co/files/u_2966469/2024/5/original/ee341093a9917f6bf3bb64c5195a73f6e5d7cc8b1.png?q=92&w=450&f=webp&bg=f6f6f6	"12,000"	AVAILABLE	꾸몽	1
끌려가유!	https://image1.marpple.co/files/u_3918683/2024/5/original/aedf39951ec7461879713b38b20f2742f1985bff1.png?q=92&w=450&f=webp&bg=f6f6f6	"12,000"	AVAILABLE	유성	1
호랑이들어와요 키링 B	https://image1.marpple.co/files/u_2322889/2023/1/original/77a62dc10812336341c43d38f5a321884d7a72d21.png?q=92&w=450&f=webp&bg=f6f6f6	"11,000"	AVAILABLE	호랑이들어와요	1
안경만두 원형 에폭시 키링	https://image1.marpple.co/files/u_172909/2024/12/original/8b10633e3d651f9ec960bd57d4cb443f3959a8ee1.png?q=92&w=600&f=webp&bg=f6f6f6	"15,300"	AVAILABLE	49	1
안경만두 하트 에폭시 키링	https://image1.marpple.co/files/u_172909/2024/12/original/10352543d13da08b50ecbef5afbd893d9f142a6a1.png?q=92&w=600&f=webp&bg=f6f6f6	"15,300"	AVAILABLE	49	1
노른 키링	https://image1.marpple.co/files/u_5004780/2024/11/original/dad2a6861229c4b9bdd4fc81c46a10236a89fbd51.png?q=92&w=450&f=webp&bg=f6f6f6	"6,400"	AVAILABLE	리벨리오	1
에테 키링	https://image1.marpple.co/files/u_5004780/2024/11/original/a69cade1a0d3b41cecf588df28a83e37b126d2241.png?q=92&w=450&f=webp&bg=f6f6f6	"6,400"	AVAILABLE	리벨리오	1
세이라 리에 키링	https://image1.marpple.co/files/u_5004780/2024/11/original/3a83c6d9f81c987dd519f0c6565dcf4ffc99db631.png?q=92&w=450&f=webp&bg=f6f6f6	"6,400"	AVAILABLE	리벨리오	1
리시오 키링	https://image1.marpple.co/files/u_5004780/2024/11/original/040b0dfbb29fa4b3a72e0f0be7545a69c79620f41.png?q=92&w=450&f=webp&bg=f6f6f6	"6,400"	AVAILABLE	리벨리오	1
카카 키링	https://image1.marpple.co/files/u_5004780/2024/11/original/90e41b619b375288a07786d9882a978df439e1231.png?q=92&w=450&f=webp&bg=f6f6f6	"6,400"	AVAILABLE	리벨리오	1
졸린 붕어빵	https://image1.marpple.co/files/u_5010063/2024/11/original/31644b04ee3aa4c0e4bd9588a465c938355dfd381.png?q=92&w=450&f=webp&bg=f6f6f6	"7,200"	AVAILABLE	선요	1
인생에 책은 필수 키링 Ver.2	https://image1.marpple.co/files/u_4057892/2024/10/original/953e2ff3bcfb96b1482e7791d6d002d93148c3f31.png?q=92&w=450&f=webp&bg=f6f6f6	"7,900"	AVAILABLE	힙스터지망생	1
웨일 키링	https://image1.marpple.co/files/u_3834444/2024/10/original/1bdc186c55917ac30de26dc53b5327f79e8438521.png?q=92&w=450&f=webp&bg=f6f6f6	"8,700"	AVAILABLE	warmjd	1
MO	https://image1.marpple.co/files/u_4239354/2024/8/original/9c7b703759609fecb2a537305dbc575fb5dd76b91.png?q=92&w=450&f=webp&bg=f6f6f6	"4,500"	AVAILABLE	MMMAO	1
돼지 키링	https://image1.marpple.co/files/u_4073707/2024/6/original/1681e3bf6fa43777d14cdf41ff92cca618bae3041.png?q=92&w=450&f=webp&bg=f6f6f6	"6,800"	AVAILABLE	[안드로메다 틈새먼지] 안틈먼	1
꽥 키링 만세	https://image1.marpple.co/files/u_1505395/2024/4/original/43f7b2ad6b4acefe012e66e41ce42837a313a8731.png?q=92&w=450&f=webp&bg=f6f6f6	"8,700"	AVAILABLE	꽥	1
도롱뇽 아저씨 키링	https://image1.marpple.co/files/u_1097876/2023/4/original/a95760104193da0d5f180ff27a2244cdada355521.png?q=92&w=450&f=webp&bg=f6f6f6	"10,000"	AVAILABLE	엉덩국 굿즈상점	1
토심이 큰하트 키링	https://image1.marpple.co/files/u_24801/2022/6/original/a58660546c68d702af7901275b70a5102bfc1a8e1.png?q=92&w=450&f=webp&bg=f6f6f6	"6,500"	AVAILABLE	토심이	1
일상툰 잇프피	https://image1.marpple.co/files/u_1925843/2022/4/original/daceae782b6d5f6f10c4ed5b001acf264cdfd68b1.png?q=92&w=450&f=webp&bg=f6f6f6	"10,000"	AVAILABLE	MBTI일상툰	1
지유개 어묵 먹방 속 그 장면 그대로 키링	https://image1.marpple.co/files/u_4059772/2024/12/original/1980725d90a8f0fa59eeaebc962c7486eb683fd11.png?q=92&w=450&f=webp&bg=f6f6f6	"11,000"	AVAILABLE	지유개 굿즈샵	1
윙크 주랑이 키링	https://image1.marpple.co/files/u_1633142/2024/12/original/f90a690deedf31b1c21c41a3ff5ad400038f8d151.png?q=92&w=450&f=webp&bg=f6f6f6	"7,900"	AVAILABLE	JURANGFRIENDS	1
틴하츠 호러 스토리 키링 (루시)	https://image1.marpple.co/files/u_5186084/2024/12/original/55531d344640fe8dc8b3959050a35c76d25ea5251.png?q=92&w=450&f=webp&bg=f6f6f6	"5,500"	AVAILABLE	TinheartsHorrorStory	1
하나북이 키링(대전)	https://image1.marpple.co/files/u_1965891/2024/12/original/1f992c842bc502e010aa515478b142f5b0ed9b5a1.png?q=92&w=450&f=webp&bg=f6f6f6	"6,800"	AVAILABLE	까북툰	1
귤북이 키링(제주)	https://image1.marpple.co/files/u_1965891/2024/12/original/e41329d44e4fd73d5c8132de7277d686558f69c11.png?q=92&w=450&f=webp&bg=f6f6f6	"6,800"	AVAILABLE	까북툰	1
전북이 키링(전북)	https://image1.marpple.co/files/u_1965891/2024/12/original/41b8e992cb8f16dfa1207278854197fb84ed4ec21.png?q=92&w=450&f=webp&bg=f6f6f6	"6,800"	AVAILABLE	까북툰	1
띨빵뇽 키링	https://image1.marpple.co/files/u_2073674/2024/12/original/de7968fb27d9c756b581b854c97e1e2cc4e009a91.png?q=92&w=450&f=webp&bg=f6f6f6	"10,000"	AVAILABLE	우리뇽	1
리츄눈사람 키링	https://image1.marpple.co/files/u_5137908/2024/11/original/dfb7ba0a03481baee49f28d5c7b0c51bba4260b21.png?q=92&w=450&f=webp&bg=f6f6f6	"8,000"	AVAILABLE	리츄쨩	1
가지면 왕 행복해지는 앵 키링	https://image1.marpple.co/files/u_4039566/2024/11/original/a0356258fe5e43224744f2d29f285e9fc77b4ba91.png?q=92&w=450&f=webp&bg=f6f6f6	"7,700"	AVAILABLE	오늘도앤님	1
도비 디폴트 키링	https://image1.marpple.co/files/u_3888880/2024/10/original/c83e81f57b0546ff00b3362e7ccaa420805b610b1.png?q=92&w=450&f=webp&bg=f6f6f6	"8,000"	SOLD_OUT	도운	1
섹시 플라밍고 리샤 아크릴 키링	https://image1.marpple.co/files/u_272593/2024/10/original/e75fe3d5bb6255219b26328e6a78afbd363192041.png?q=92&w=450&f=webp&bg=f6f6f6	"6,200"	AVAILABLE	리샤LYSha	1
솔연 안아줘 키링 1 (기본)	https://image1.marpple.co/files/u_2443085/2024/9/original/eb4a74a9f076268df41c3488b8b0b1b3de7988f21.png?q=92&w=450&f=webp&bg=f6f6f6	"10,000"	SOLD_OUT	솔연	1
신이석 명찰 키링	https://image1.marpple.co/files/u_4693450/2024/9/original/947b69758090c4371214837f3016020b4e189b3a1.png?q=92&w=450&f=webp&bg=f6f6f6	"10,200"	AVAILABLE	토마토가 돼라!	1
물총새 키링	https://image1.marpple.co/files/u_4232893/2024/8/original/cd7ee0166895f7dacc7ebb329df4e4a03434c5581.png?q=92&w=450&f=webp&bg=f6f6f6	"9,300"	AVAILABLE	새보라	1
늘어지고양이 살아 키링	https://image1.marpple.co/files/u_3457623/2024/8/original/82b4adca231eeb55749b33739977df9c2fc0ec4c1.png?q=92&w=450&f=webp&bg=f6f6f6	"8,400"	AVAILABLE	늘어지고양이	1
늘어지고양이 힘들어요 키링	https://image1.marpple.co/files/u_3457623/2024/8/original/80c0cd9fed755dd7b6d9e4c8e1a36998528aa8ee1.png?q=92&w=450&f=webp&bg=f6f6f6	"8,400"	AVAILABLE	늘어지고양이	1
늘어지고양이 만성피로 키링	https://image1.marpple.co/files/u_3457623/2024/7/original/69bedf085b6f578c3a899b5c79f81924d88eacf01.png?q=92&w=450&f=webp&bg=f6f6f6	"8,400"	AVAILABLE	늘어지고양이	1
말랑꾸	https://image1.marpple.co/files/u_2966469/2024/5/original/036a37c43a09bd629655c9fa8767e31dedb974a91.png?q=92&w=600&f=webp&bg=f6f6f6	"15,500"	AVAILABLE	꾸몽	1
SD 멜 키링	https://image1.marpple.co/files/u_3849510/2024/5/original/d885e44e0d4193c79c59bb54b905c6402fb1c11f1.png?q=92&w=450&f=webp&bg=f6f6f6	"9,900"	AVAILABLE	산타 인더스트리	1
또이또이 아이돌 아크릴 키링	https://image1.marpple.co/files/u_3933290/2024/5/original/68f9d42c5c5fd5c68cfea8d382268fb8d7f5d9c11.png?q=92&w=450&f=webp&bg=f6f6f6	"11,000"	AVAILABLE	또이또이TV	1
또이또이 기본 아크릴 키링	https://image1.marpple.co/files/u_3933290/2024/5/original/e918cda48fa438904823fd6914a8ff856427acea1.png?q=92&w=450&f=webp&bg=f6f6f6	"11,000"	AVAILABLE	또이또이TV	1
루시퍼 키링	https://image1.marpple.co/files/u_1978152/2024/3/original/b2dc5385fb12029bf937df155b6e9748582af28f1.png?q=92&w=450&f=webp&bg=f6f6f6	"12,000"	AVAILABLE	혀누Hyunoo	1
