FC000183,"김성진, 하석배, 이윤경, 박선경, 최정원 등","",2025.01.10,달서아트센터 (구. 웃는얼굴아트센터) (청룡홀),서양음악(클래식),PF255939,달서구민과 함께하는 신년음악회 [대구 달서],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF255939_241217_1108290.jpg""}",전석무료,1시간 30분,2025.01.10,금요일(19:30)
FC000191,"","이충하, 문정일, 문귀환 등",2025.03.16,대구문화예술회관 (팔공홀),뮤지컬,PF256205,타키포오 [대구],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256205_241224_1010450.jpg""}","R석 70,000원",1시간 10분,2025.03.15,"토요일(11:00,14:00,16:00), 일요일(11:00,14:00)"
FC000204,"이상진, 오가연, 김태인, 안성국 등","",2025.01.10,수성아트피아 (무학홀 (소공연장)),서양음악(클래식),PF256340,제10회 대구국제청소년오케스트라 정기연주회,"{""styurl"":[""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256340_241227_1102461.jpg"",""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256340_241227_1102460.jpg""]}","전석 5,000원",1시간 10분,2025.01.10,금요일(19:30)
FC000205,"홍지혜, 이아희, 장나영, 이시연","",2025.01.26,예스24 라이브홀 (구. 악스코리아) (예스24 라이브홀 (구. 악스코리아)),대중음악,PF256511,"QWER The 1st Fan Concert: 1, 2, QWER!","{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256511_241231_1226261.jpg""}","대포존 154,000원, 지정석 121,000원, 스탠딩석 121,000원",1시간 40분,2025.01.25,"토요일(18:00), 일요일(17:00)"
FC000218,"","",2025.03.15,도봉구민회관 (대강당(하모니홀)),뮤지컬,PF256019,무지개 물고기 [서울 도봉],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256019_241219_0956250.jpg""}","전석 50,000원",1시간,2025.03.15,"토요일(12:00,14:00,16:00)"
FC000240,"","",2025.03.16,국립과천과학관 (어울림홀),서커스/마술,PF256400,공룡 애니멀 쇼 [과천],"{""styurl"":[""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256400_241230_1027151.jpg"",""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256400_241230_1027150.jpg""]}","전석 30,000원",55분,2025.03.16,"일요일(12:00,14:00,16:00)"
FC000260,"","",2025.01.19,제주문예회관 (대극장),뮤지컬,PF256035,겨울왕국: 겨울이야기 [제주],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256035_241219_1100390.jpg""}","전석 40,000원",1시간,2025.01.18,"토요일 ~ 일요일(11:00,13:00,15:00)"
FC000332,"","",2025.02.08,평택시북부문예회관 (대공연장),뮤지컬,PF256443,신데렐라 [평택],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256443_241230_0122320.jpg""}","전석 40,000원",55분,2025.02.08,"토요일(11:00,14:00,16:00)"
FC000358,"김순영, 손지훈, 전태현, 유태평양, 박종성 등","",2025.01.24,속초문화예술회관 (대공연장),복합,PF255997,국립심포니오케스트라 신년음악회 [속초],"{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF255997_241218_1242020.jpg""}","전석 40,000원","",2025.01.24,금요일(19:30)
FC000362,"김용준, 김윤주, 김성민, 박다미, 남수현, 김권후, 김애진 등","이승원, 유보민, 박은정 등",2025.02.09,선돌극장 (선돌극장),연극,PF256070,"극단 나베 창단 10주년 기념공연, 더 시걸: 갈매기","{""styurl"":""http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF256070_241219_0210170.jpg""}","전석 40,000원",2시간 10분,2025.01.16,"화요일 ~ 금요일(19:30), 토요일(15:00,19:00), 일요일(15:00), "
